game,genres,developer,score,likes
Metal Gear Solid 2: Sons of Liberty,"Action,Adventure,Modern",KCEJ,96,0
Grand Theft Auto: San Andreas,"Action,Adventure,Modern",RockstarNorth,95,1
Wolfenstein: The New Order,"General,Action,Shooter,First-Person,Historic,Arcade",BethesdaGameStudios,79,0
The Elder Scrolls V: Skyrim,"Role-Playing,First-Person,Western-Style",BethesdaGameStudios,92,1
Fallout 4,"General,Role-Playing,Western-Style",BethesdaGameStudios,87,0
Fallout 76,"Role-Playing,Western-Style",BethesdaGameStudios,49,0
