game,genres,developer,score,likes
The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,"Point-and-Click,Adventure","TelltaleGames,SkyboundGames",77,1
The Elder Scrolls V: Skyrim,"Role-Playing,Western-Style,First-Person","BethesdaGameStudios",96,1
Resident Evil 4,"Horror,Action,Adventure","Capcom",96,1
The Sims 4,"Virtual,Virtual Life,Simulation,Miscellaneous","Maxis",70,0
Devil May Cry,"Adventure,Action,Fantasy","Capcom",94,1
Devil May Cry 2,"Adventure,Action,Fantasy","Capcom",68,1
Devil May Cry 5,"Adventure,Action,General","Capcom",89,1
